id,name,description,image
1,Eiffel Tower,Iconic wrought-iron lattice tower in Paris,France,eiffel_tower.jpg
2,Great Wall of China,Ancient series of walls and fortifications in northern China,great_wall_of_china.jpg
3,Statue of Liberty,Symbol of freedom located in New York Harbor,USA,statue_of_liberty.jpg
4,Taj Mahal,White marble mausoleum in Agra,India,taj_mahal.jpg
5,Machu Picchu,Incan citadel set high in the Andes Mountains,Peru,machu_picchu.jpg
6,Christ the Redeemer,Massive Art Deco statue of Jesus Christ in Rio de Janeiro,Brazil,christ_the_redeemer.jpg
7,Colosseum,Ancient amphitheater in Rome,Italy,colosseum.jpg
8,Sydney Opera House,Famous performing arts center with sail-like design,Australia,sydney_opera_house.jpg
9,Mount Fuji,Iconic snow-capped volcano and cultural symbol of Japan,mount_fuji.jpg
10,Petra,Archaeological site famous for its rock-cut architecture,Jordan,petra.jpg
